,TEXT
758,***
759,"tell him the history of your raphunzel hair that tickled your shins. and of a cruel world that sapped you, so your hair cannot reach down to cover your shame. . ."
760,***
761,"press his ears against your skin and hear him announce—the dance is in the bones, the dance is in the blood. . ."
762,***
763,"he shall chart and plot and map, but shrewd girl bring him up to worship you. . ."
764,***
765,"allow him to memorize all of you so that, some day, he shall ravish you screaming fiery love-words in your mother-tongue. . ."
766,***
767,"he would have learnt your lesson, by then. . ."
768,lines addressed to a warrior
769,come. colonise me.
770,"          creep into the hollows           of my landscape—my eyes click lock:           no more the drawing of the gates.                         set up your home your office                         the writing desk and the trading post.           ignore the sand-brown           of my skin—a willing blind           i’ll never know black from white.                         take me and talk of your finer finish                         stunned i yield, so script your stories here."
771,"invade. this inner-space.             adjust the pace and pulse           of marching armies—and house           your machine guns, its manuals.                         populate me with anthems                         the songs of wrath and those of war.           draft words that echo           of gunfire, to accompany           my lone dance of submission.                         though prose mad and power crazy, you                         conquer me, never with malice or manhood."
772,capture. every territory.
773,"          fill up all my blank skin           to resound with the strike of scimitars,           the sadness of success.                         have all your battles lost, or won,                         chronicled across my line of down."
774,my lover speaks of rape
775,"flaming green of a morning that awaits rain     and my lover speaks of rape through silences,     swallowed words and the shadowed tones     of voice. quivering, i fill in his blanks. green turns to unsightly teal of hospital beds     and he is softer than feathers, but i fly away     to shield myself from the retch of the burns     ward, the shrill sounds of dying declarations, the floral pink-white sad skins of dowry deaths."
776,"open eyes, open hands, his open all-clear soul . . ."
777,"colorless noon filters in through bluish glass     and coffee keeps him company. she chatters     away telling her own, every woman’s story;     he listens, like for the first time. tragedy in bridal red remains a fresh, flushing bruise across     brown-yellow skinscapes, vibrant but made     muted through years of silent, waiting skin.     i am absent. they talk of everyday assault that turns blue, violet and black in high-color symphony."
778,"open eyes, open hands, his open all-clear soul . . ."
779,"blues blend to an unforgiving metropolitan black     and loneliness seems safer than a gentle night     in his arms. i return from the self-defence lessons: mistrust is the black-belted, loose white mechanism     of survival against this groping world and i am     a convert too. yet, in the way of all life, he could try and take root, as i resist, and yield later, like the earth."
780,"open eyes, open hands, his open all-clear soul . . . has he learnt to live my life? has he learnt never to harm?"
781,their daughters
782,"paracetamol legends i know for rising fevers, as pain-relievers—"
783,"of my people—father’s father’s mother’s mother, dark lush hair caressing her ankles sometimes, sweeping earth, deep-honey skin, amber eyes—not beauty alone they say—she married a man who murdered thirteen men and one lonely summer afternoon her rice-white teeth tore through layers of khaki, and golden white skin to spill the bloodied guts of a british soldier who tried to colonize her. . ."
784,"of my land—uniform blue open skies, mad-artist palettes of green lands and lily-filled lakes that mirror all—not peace or tranquil alone, he shudders—some young woman near my father’s home, with a drunken husband who never changed; she bore his beatings everyday until on one stormy night, in fury, she killed him by stomping his seedbags. . ."
785,we: their daughters. we: the daughters of their soil.
786,"we, mostly, write."
787,come silently like the moon
788,by nazrul islam
789,english version by gulshan ara original language bengali
790,"o, my love come silently in the middle of the night as gliding moonlight"
791,with your tender touch bring sweet dreams to my eyes
792,"o, my love, never again i will need to open the door, come quietly through the door of my heart be there forever in my sweet memory"
793,come as the fragrance of un-blossomed flowers swaying in the evening breeze sing out my name over and over again like love-stricken evening bird in the wilderness
794,come as tear drops in my eyes whisper in my ears like soothing tune of flute come as my lost love o my ever lost love be there as eternal pain in my heart.
795,he who has seen my mother
796,by nazrul islam
797,english version by rachel fell mcdermott original language bengali
798,"he who has seen my mother can he hate his brother? she loves everyone in the three worlds; her heart cries for all. with her there's no difference of caste, no distinction between high and low; all are the same. if she sees a candala like rama with guhak she clasps him to her breast. ma is our great illusion, highest nature, and father our highest self;      that's why one feels love for all      we feel love for all. if you worship the mother hating her children she won't accept your puja; the ten-armed one will not. the day we forget the knowledge of difference           on that day only           will ma come home to us. "
799,let's meet hereafter!
800,by nazrul islam
801,english version by mohammad omar farooq original language bengali
802,"we will meet again in the life hereafter; here, please, forget me with a simple laughter. anything that remained unsaid, i won't say; let you also keep silence; if i offer my love, turn me away; if i persist, hurt me, in pretense."
803,"dream is broken abruptly here, the evening's bud sheds in the dawn; the heart dries up before love is savored; the ambrosia here has the taste of poison."
804,"in separation here, heart longs in agony; when together, quickly we go apart; where the fountain of love is never dry, in that everlasting garden, remember to seek my heart. "
805,"mother, i may have been a naughty child"
806,by nazrul islam
807, original language bengali
808,"mother, i may have been a naughty child, but i am your child nevertheless! you own the world, mother, you are the queen of the world, and look at me, i go about in the habit of a beggar."
809,"you are bent on neglecting me, but i love you anyway, it is you,?only you that i call upon. just as a child runs to his mother even after she has scolded him, so do i run to you."
810,"how could you push me away from you, mother, you are my mother, are you not? oh, why did you cast me away, mother, leave me to play in the dust? i would have been a better child, had only you been a little more kind to me."
811,"i am sad and angry, mother, i shall go away anywhere my eyes and my feet take me to. i do not care now whether i live or die now, mother, i am going away."
812,o nightingale!
813,by nazrul islam
814,english version by john thorpe original language bengali
815,"in garden plot, o nightingale, do not rock upon this flower stem today; for these buds swinging in deep sleep, unbroken dozing slumber lay."
816,"oh how north winds blow now! empty branches bow, day and night! absent is the southern breeze, singing melodies, honey bees are in dismay!"
817,"when will that virgin flower sunder sleeps power, opening wide in blossom? by morning cheeks in red, breaking slumber's stay. "
818,"springtime wakes the bud wide, breaking each side, bringing a flowering flood. flowering bud's, parting lips pursed into laughter burst, dimpled cheeks display."
819,"oh poet! you forgot the scent, so sinking down low, fail to find that shore. the flower in past, that had filled your breast, now, o'erflowed it lies, 'neath a flood of watering eyes."
820,song of dawn
821,by nazrul islam
822,english version by sajed kamal original language bengali
823,"it's dawn,- open the door,      wake up, khukumoni! the jasmine flowers from their vines are calling you to come running,      wake up, khukumoni! uncle sun is crawling out      all dressed in a crimson shirt, listen -- the gatekeeper is singing      his song, ""rama hoi."" the birds are leaving their nests      to fly in the sky, listen to them singing continuously,      filling the morning air! the restless bulbul birds      whistle from flower to flower, this time, this time,      khukumoni will open her eyes! setting the rudder, hoisting the sail,      the boat begins its journey, this time, this time,      khukumoni has opened her eyes!  lazy she's not--      she's an early-riser, that's why brother moon      gives a teep everyday for her!  up and running--      all the little boys and girls, listen to them babbling      about who woke up first! night's wash up      wake up, khukumoni! with a hymn let's begin      asking for a blessing from god!"
824,syama wakes on the cremation grounds
825,by nazrul islam
826,english version by rachel fell mcdermott original language bengali
827,"syama wakes on the cremation grounds to take her child at the final hour to her lap. the peaceful mother sits on the pyre in fire hidden by her sari of love.      to hold him on her lap      she left the kailasa of her joy, and      with blessings and fearlessness in her hands      made the cremation grounds her home. why fear this place when you'll sleep peacefully at the mother's feet?      who dies ignited by the flames of this world,      to him the mother calls:      ""come to my lap, come to my lap.""      to lull you to sleep, oh wearied by life,           ma takes you to her lap           disguised as death. "
828,"talk to me, javas, talk to me"
829,by nazrul islam
830,english version by rachel fell mcdermott original language bengali
831,"talk to me, javas, talk to me -- what austerities did you do to get syama ma's feet? torn from your stems on illusion's plants, falling scattered to the ground at her feet,      you got liberation           bursting open      beside yourselves with joy. if only i could learn from your example my life might bear fruit. thousands of sweet-smelling flowers bloom in the woods, and they're all such beauties! so how come           you got ma's feet?           you're just ignoran't javas!"
832,"crimson like you at the mother's feet, when will they be flowers           offered to her, blessed by her? when will they turn red           at the touch of her feet? when will they, just like you, blush scarlet --                     these dull petals of my mind?"
833,a moments indulgence i ask for a moment's indulgence to sit by thy side. the works  that i have in hand i will finish afterwards. 
834,"away from the sight of thy face my heart knows no rest nor respite,  and my work becomes an endless toil in a shoreless sea of toil. "
835,today the summer has come at my window with its sighs and murmurs; and the bees are plying their minstrelsy at the court of the flowering grove. 
836,"now it is time to sit quite, face to face with thee, and to sing  dedication of life in this silent and overflowing leisure."
837,"authorship you say that father write a lot of books, but what he write i don't understand. he was reading to you all the evening, but could you really make out what he meant? what nice stores, mother, you can tell us! why can't father write like that, i wonder? did he never hear from his own mother stories of giants and fairies and princesses? has he forgotten them all? often when he gets late for his bath you have to and call him an hundred times. you wait and keep his dishes warm for him, but he goes on writing and forgets. father always plays at making books. if ever i go to play in father's room, you come and call me, ""what a naughty child!"" if i make the slightest noise you say, ""don't you see that father's at his work?"" what's the fun of always writing and writing? when i take up father's pen or pencil and write upon his book just as he does,-a,b,c,d,e,f,g,h,i,-why do you get cross with me then, mother? you never say a word when father writes. when my father wastes such heaps of paper, mother, you don't seem to mind at all. but if i take only one sheet to take a boat with, you say, ""child, how troublesome you are!"" what do you think of father's spoiling sheets and sheets of paper with black marks all over both sides?"
838,baby's way 
839,"if baby only wanted to, he could fly up to heaven this moment. it is not for nothing that he does not leave us. he loves to rest his head on mother's bosom, and cannot ever bear to lose sight of her. baby know all manner of wise words, though few on earth can understand their meaning. it is not for nothing that he never wants to speak. the one thing he wants is to learn mother's words from mother's lips. that is why he looks so innocent. baby had a heap of gold and pearls, yet he came like a beggar on to this earth. it is not for nothing he came in such a disguise. this dear little naked mendicant pretends to be utterly helpless, so that he may beg for mother's wealth of love. baby was so free from every tie in the land of the tiny crescent moon. it was not for nothing he gave up his freedom. he knows that there is room for endless joy in mother's little corner of a heart, and it is sweeter far than liberty to be caught and pressed in her dear arms. baby never knew how to cry. he dwelt in the land of perfect bliss. it is not for nothing he has chosen to shed tears. though with the smile of his dear face he draws mother's yearning heart to him, yet his little cries over tiny troubles weave the double bond of pity and love."
840,beggarly heart 
841,"when the heart is hard and parched up,  come upon me with a shower of mercy. "
842,"when grace is lost from life,  come with a burst of song. "
843,"when tumultuous work raises its din on all sides shutting me out from  beyond, come to me, my lord of silence, with thy peace and rest. "
844,"when my beggarly heart sits crouched, shut up in a corner,  break open the door, my king, and come with the ceremony of a king. "
845,"when desire blinds the mind with delusion and dust, o thou holy one,  thou wakeful, come with thy light and thy thunder"
846,benediction
847,"bless this little heart, this white soul that has won the kiss of heaven for our earth. he loves the light of the sun, he loves the sight of his mother's face. he has not learned to despise the dust, and to hanker after gold. clasp him to your heart and bless him. he has come into this land of an hundred cross-roads. i know not how he chose you from the crowd, came to your door, and grasped you hand to ask his way. he will follow you, laughing the talking, and not a doubt in his heart. keep his trust, lead him straight and bless him. lay your hand on his head, and pray that though the waves underneath grow threatening, yet the breath from above may come and fill his sails and waft him to the heaven of peace. forget him not in your hurry, let him come to your heart and bless him."
848,brink of eternity 
849,in desperate hope i go and search for her  in all the corners of my room;  i find her not. 
850,my house is small  and what once has gone from it can never be regained. 
851,"but infinite is thy mansion, my lord,  and seeking her i have to come to thy door. "
852,i stand under the golden canopy of thine evening sky  and i lift my eager eyes to thy face. 
853,"i have come to the brink of eternity from which nothing can vanish  ---no hope, no happiness, no vision of a face seen through tears. "
854,"oh, dip my emptied life into that ocean,  plunge it into the deepest fullness.  let me for once feel that lost sweet touch  in the allness of the universe. "
855, chain of pearls 
856,"mother, i shall weave a chain of pearls for thy neck  with my tears of sorrow. "
857,"the stars have wrought their anklets of light to deck thy feet,  but mine will hang upon thy breast. "
858,"wealth and fame come from thee  and it is for thee to give or to withhold them.  but this my sorrow is absolutely mine own,  and when i bring it to thee as my offering  thou rewardest me with thy grace."
859,closed path 
860,"i thought that my voyage had come to its end  at the last limit of my power,---that the path before me was closed,  that provisions were exhausted  and the time come to take shelter in a silent obscurity. "
861,"but i find that thy will knows no end in me.  and when old words die out on the tongue,  new melodies break forth from the heart;  and where the old tracks are lost,  new country is revealed with its wonders."
862,clouds and waves
863,"mother, the folk who live up in the clouds call out to me- ""we play from the time we wake till the day ends. we play with the golden dawn, we play with the silver moon."" i ask, ""but how am i to get up to you ?"" they answer, ""come to the edge of the earth, lift up your hands to the sky, and you will be taken up into the clouds."" ""my mother is waiting for me at home, ""i say, ""how can i leave her and come?"" then they smile and float away. but i know a nicer game than that, mother. i shall be the cloud and you the moon. i shall cover you with both my hands, and our house-top will be the blue sky. the folk who live in the waves call out to me- ""we sing from morning till night; on and on we travel and know not where we pass."" i ask, ""but how am i to join you?"" they tell me, ""come to the edge of the shore and stand with your eyes tight shut, and you will be carried out upon the waves."" i say, ""my mother always wants me at home in the everything- how can i leave her and go?"" they smile, dance and pass by. but i know a better game than that. i will be the waves and you will be a strange shore. i shall roll on and on and on, and break upon your lap with laughter. and no one in the world will know where we both are. "
864,colored toys 
865,"when i bring to you colored toys, my child,  i understand why there is such a play of colors on clouds, on water,  and why flowers are painted in tints  ---when i give colored toys to you, my child. "
866,"when i sing to make you dance  i truly now why there is music in leaves,  and why waves send their chorus of voices to the heart of the listening earth  ---when i sing to make you dance. "
867,when i bring sweet things to your greedy hands  i know why there is honey in the cup of the flowers  and why fruits are secretly filled with sweet juice  ---when i bring sweet things to your greedy hands. 
868,"when i kiss your face to make you smile, my darling,  i surely understand what pleasure streams from the sky in morning light,  and what delight that is that is which the summer breeze brings to my body  ---when i kiss you to make you smile."
869,defamation 
870,"whey are those tears in your eyes, my child? how horrid of them to be always scolding you for nothing! you have stained your fingers and face with ink while writing- is that why they call you dirty? o, fie! would they dare to call the full moon dirty because it has smudged its face with ink? for every little trifle they blame you, my child. they are ready to find fault for nothing. you tore your clothes while playing-is that why they call you untidy? o, fie! what would they call an autumn morning that smiles through its ragged clouds? take no heed of what they say to you, my child. they make a long list of your misdeeds. everybody knows how you love sweet things-is that why they call you greedy? o, fie! what then would they call us who love you?"
871,distant time 
872,i know not from what distant time  thou art ever coming nearer to meet me.  thy sun and stars can never keep thee hidden from me for aye. 
873,in many a morning and eve thy footsteps have been heard  and thy messenger has come within my heart and called me in secret. 
874,"i know not only why today my life is all astir,  and a feeling of tremulous joy is passing through my heart. "
875,"it is as if the time were come to wind up my work,  and i feel in the air a faint smell of thy sweet presence. "
876,dungeon 
877,he whom i enclose with my name is weeping in this dungeon.  i am ever busy building this wall all around; and as this wall goes up into  the sky day by day i lose sight of my true being in its dark shadow. 
878,"i take pride in this great wall, and i plaster it with dust and sand  lest a least hole should be left in this name;  and for all the care i take i lose sight of my true being"
879,"endless time by rabindranath tagore time is endless in thy hands, my lord.  there is none to count thy minutes. "
880,days and nights pass and ages bloom and fade like flowers.  thou knowest how to wait. 
881,thy centuries follow each other perfecting a small wild flower. 
882,"we have no time to lose,  and having no time we must scramble for a chance.  we are too poor to be late. "
883,"and thus it is that time goes by  while i give it to every querulous man who claims it,  and thine altar is empty of all offerings to the last. "
884,at the end of the day i hasten in fear lest thy gate be shut;  but i find that yet there is time.
885,face to face 
886,"day after day, o lord of my life,  shall i stand before thee face to face.  with folded hands, o lord of all worlds,  shall i stand before thee face to face. "
887,"under thy great sky in solitude and silence,  with humble heart shall i stand before thee face to face. "
888,"in this laborious world of thine, tumultuous with toil  and with struggle, among hurrying crowds  shall i stand before thee face to face. "
889,"and when my work shall be done in this world,  o king of kings, alone and speechless  shall i stand before thee face to face."
890,fairyland 
891,"if people came to know where my king's palace is, it would vanish  into the air. the walls are of white silver and the roof of shining gold. the queen lives in a palace with seven courtyards, and she wears a jewel that cost all the wealth of seven kingdoms. but let me tell you, mother, in a whisper, where my king's palace is. it is at the corner of our terrace where the pot of the tulsi plant stands. the princess lies sleeping on the far-away shore of the seven impassable seas. there is none in the world who can find her but myself. she has bracelets on her arms and pearl drops in her ears; her hair sweeps down upon the floor. she will wake when i touch her with my magic wand and jewels will fall from her lips when she smiles. but let me whisper in your ear, mother; she is there in the corner of our terrace where the pot of the tulsi plant stands. when it is time for you to go to the river for your bath, step up to that terrace on the roof. i sit in the corner where the shadow of the walls meet together. only puss is allowed to come with me, for she know where the barber in the story lives. but let me whisper, mother, in your ear where the barber in the story lives. it is at the corner of the terrace where the pot of the tulsi plant stands."
892,farewell 
893,"i have got my leave. bid me farewell, my brothers!  i bow to you all and take my departure. "
894,here i give back the keys of my door  ---and i give up all claims to my house.  i only ask for last kind words from you. 
895,"we were neighbors for long,  but i received more than i could give.  now the day has dawned  and the lamp that lit my dark corner is out.  a summons has come and i am ready for my journey."
896,"flower by rabindranath tagore pluck this little flower and take it, delay not! i fear lest it  droop and drop into the dust. "
897,"i may not find a place in thy garland, but honour it with a touch of  pain from thy hand and pluck it. i fear lest the day end before i am  aware, and the time of offering go by. "
898,"though its colour be not deep and its smell be faint, use this flower  in thy service and pluck it while there is time."
899,fool 
900,"o fool, try to carry thyself upon thy own shoulders!  o beggar, to come beg at thy own door! "
901,"leave all thy burdens on his hands who can bear all,  and never look behind in regret. "
902,thy desire at once puts out the light from the lamp it touches with its breath. it is unholy---take not thy gifts through its unclean hands.  accept only what is offered by sacred love. 
903,free love 
904,"by all means they try to hold me secure who love me in this world.  but it is otherwise with thy love which is greater than theirs,  and thou keepest me free. "
905,lest i forget them they never venture to leave me alone.  but day passes by after day and thou art not seen. 
906,"if i call not thee in my prayers, if i keep not thee in my heart,  thy love for me still waits for my love."
907,friend 
908,"art thou abroad on this stormy night  on thy journey of love, my friend?  the sky groans like one in despair. "
909,"i have no sleep tonight.  ever and again i open my door and look out on  the darkness, my friend! "
910,i can see nothing before me.  i wonder where lies thy path! 
911,"by what dim shore of the ink-black river,  by what far edge of the frowning forest,  through what mazy depth of gloom art thou threading  thy course to come to me, my friend?"
912,give me strength
913,"this is my prayer to thee, my lord---strike,  strike at the root of penury in my heart. "
914,give me the strength lightly to bear my joys and sorrows. 
915,give me the strength to make my love fruitful in service. 
916,give me the strength never to disown the poor or bend my knees before insolent might. 
917,give me the strength to raise my mind high above daily trifles. 
918,and give me the strength to surrender my strength to thy will with love.
919,innermost one 
920,"he it is, the innermost one,  who awakens my being with his deep hidden touches. "
921,he it is who puts his enchantment upon these eyes  and joyfully plays on the chords of my heart  in varied cadence of pleasure and pain. 
922,"he it is who weaves the web of this maya  in evanescent hues of gold and silver, blue and green,  and lets peep out through the folds his feet,  at whose touch i forget myself. "
923,"days come and ages pass,  and it is ever he who moves my heart in many a name,  in many a guise, in many a rapture of joy and of sorrow."
924,journey home 
925, the time that my journey takes is long and the way of it long. 
926,"i came out on the chariot of the first gleam of light, and pursued my  voyage through the wildernesses of worlds leaving my track on many a star and planet. "
927,"it is the most distant course that comes nearest to thyself,  and that training is the most intricate which leads to the utter simplicity of a tune. "
928,"the traveler has to knock at every alien door to come to his own,  and one has to wander through all the outer worlds to reach the innermost shrine at the end. "
929,my eyes strayed far and wide before i shut them and said `here art thou!' 
930,"the question and the cry `oh, where?' melt into tears of a thousand  streams and deluge the world with the flood of the assurance `i am!'"
931,last curtain 
932,"i know that the day will come  when my sight of this earth shall be lost,  and life will take its leave in silence,  drawing the last curtain over my eyes. "
933,"yet stars will watch at night,  and morning rise as before,  and hours heave like sea waves casting up pleasures and pains. "
934,"when i think of this end of my moments,  the barrier of the moments breaks  and i see by the light of death  thy world with its careless treasures.  rare is its lowliest seat,  rare is its meanest of lives. "
935,things that i longed for in vain  and things that i got  ---let them pass.  let me but truly possess  the things that i ever spurned  and overlooked.
936,leave this 
937,leave this chanting and singing and telling of beads!  whom dost thou worship in this lonely dark corner of a temple with doors all shut?  open thine eyes and see thy god is not before thee! 
938,"he is there where the tiller is tilling the hard ground  and where the pathmaker is breaking stones.  he is with them in sun and in shower,  and his garment is covered with dust.  put off thy holy mantle and even like him come down on the dusty soil! "
939,deliverance?  where is this deliverance to be found?  our master himself has joyfully taken upon him the bonds of creation;  he is bound with us all for ever. 
940,come out of thy meditations and leave aside thy flowers and incense!  what harm is there if thy clothes become tattered and stained?  meet him and stand by him in toil and in sweat of thy brow.
941,let me not forget
942,"if it is not my portion to meet thee in this life  then let me ever feel that i have missed thy sight  ---let me not forget for a moment,  let me carry the pangs of this sorrow in my dreams  and in my wakeful hours. "
943,"as my days pass in the crowded market of this world  and my hands grow full with the daily profits,  let me ever feel that i have gained nothing  ---let me not forget for a moment,  let me carry the pangs of this sorrow in my dreams  and in my wakeful hours. "
944,"when i sit by the roadside, tired and panting,  when i spread my bed low in the dust,  let me ever feel that the long journey is still before me  ---let me not forget a moment,  let me carry the pangs of this sorrow in my dreams  and in my wakeful hours. "
945,"when my rooms have been decked out and the flutes sound  and the laughter there is loud,  let me ever feel that i have not invited thee to my house  ---let me not forget for a moment,  let me carry the pangs of this sorrow in my dreams  and in my wakeful hours"
946,light 
947,"light, my light, the world-filling light,  the eye-kissing light,  heart-sweetening light! "
948,"ah, the light dances, my darling, at the center of my life;  the light strikes, my darling, the chords of my love;  the sky opens, the wind runs wild, laughter passes over the earth. "
949,the butterflies spread their sails on the sea of light.  lilies and jasmines surge up on the crest of the waves of light. 
950,"the light is shattered into gold on every cloud, my darling,  and it scatters gems in profusion. "
951,"mirth spreads from leaf to leaf, my darling,  and gladness without measure.  the heaven's river has drowned its banks  and the flood of joy is abroad."
952,little flute 
953," thou hast made me endless, such is thy pleasure. this frail  vessel thou emptiest again and again, and fillest it ever with fresh life. "
954,"this little flute of a reed thou hast carried over hills and dales,  and hast breathed through it melodies eternally new. "
955,at the immortal touch of thy hands my little heart loses its limits in  joy and gives birth to utterance ineffable. 
956,"thy infinite gifts come to me only on these very small hands of mine.  ages pass, and still thou pourest, and still there is room to fill. "
957,little of me 
958,let only that little be left of me  whereby i may name thee my all. 
959,"let only that little be left of my will  whereby i may feel thee on every side,  and come to thee in everything,  and offer to thee my love every moment. "
960,"let only that little be left of me  whereby i may never hide thee.  let only that little of my fetters be left  whereby i am bound with thy will,  and thy purpose is carried out in my life---and that is the fetter of thy love."
961,lost star 
962,"when the creation was new and all the stars shone in their first  splendor, the gods held their assembly in the sky and sang  `oh, the picture of perfection! the joy unalloyed!' "
963,but one cried of a sudden  ---`it seems that somewhere there is a break in the chain of light  and one of the stars has been lost.' 
964,"the golden string of their harp snapped,  their song stopped, and they cried in dismay  ---`yes, that lost star was the best,  she was the glory of all heavens!' "
965,"from that day the search is unceasing for her,  and the cry goes on from one to the other  that in her the world has lost its one joy! "
966,only in the deepest silence of night the stars smile  and whisper among themselves  ---`vain is this seeking! unbroken perfection is over all!' 
967,lost time 
968,"on many an idle day have i grieved over lost time.  but it is never lost, my lord.  thou hast taken every moment of my life in thine own hands. "
969,"hidden in the heart of things thou art nourishing seeds into sprouts,  buds into blossoms, and ripening flowers into fruitfulness. "
970,i was tired and sleeping on my idle bed  and imagined all work had ceased.  in the morning i woke up  and found my garden full with wonders of flowers.
971,lotus 
972,"on the day when the lotus bloomed, alas, my mind was straying,  and i knew it not. my basket was empty and the flower remained unheeded. "
973,"only now and again a sadness fell upon me, and i started up from my  dream and felt a sweet trace of a strange fragrance in the south wind. "
974,that vague sweetness made my heart ache with longing and it seemed to  me that is was the eager breath of the summer seeking for its completion. 
975,"i knew not then that it was so near, that it was mine, and that this  perfect sweetness had blossomed in the depth of my own heart."
976,lover's gifts ii: come to my garden walk 
977,"come to my garden walk, my love. pass by the fervid flowers that press themselves on your sight. pass them by, stopping at some chance joy, which like a sudden wonder of sunset illumines, yet elude. for lover's gift is shy, it never tells its name, it flits across the shade, spreading a shiver of joy along the dust. overtake it or miss it for ever. but a gift that can be grasped is merely a frail flower, or a lamp with flame that will flicker."
978,lover's gifts iv: she is near to my heart 
979,"she is near to my heart as the meadow-flower to the earth; she is sweet to me as sleep is to tired limbs. my love for her is my life flowing in its fullness, like a river in autumn flood, running with serene abandonment. my songs are one with my love, like the murmur of a stream, that sings with all its waves and current."
980,lover's gifts lii: tired of waiting 
981,"tired of waiting, you burst your bonds, impatient flowers, before the winter had gone. glimpses of the unseen comer reached your wayside watch, and you rushed out running and panting, impulsive jasmines, troops of riotous roses. you were the first to march to the breach of death, your clamour of colour and perfume troubled the air. you laughed and pressed and pushed each other, bared your breast and dropped in heaps. the summer will come in its time, sailing in the flood-tide of the south wind. but you never counted slow moments to be sure of him. you recklessly spent your all in the road, in the terrible joy of faith. you heard his footsteps from afar, and flung your mantle of death for him to tread upon. your bonds break even before the rescuer is seen, you make him your own ere he can come and claim you. "
982,lover's gifts liv: in the beginning of time 
983,"in the beginning of time, there rose from the churning of god's dream two women. one is the dancer at the court of paradise, the desired of men, she who laughs and plucks the minds of the wise from their cold meditations and of fools from their emptiness; and scatters them like seeds with careless hands in the extravagant winds of march, in the flowering frenzy of may. the other is the crowned queen of heaven, the mother, throned on the fullness of golden autumn; she who in the harvest-time brings straying hearts to the smile sweet as tears, the beauty deep as the sea of silence, -brings them to the temple of the unknown, at the holy confluence of life and death. "
984,lover's gifts lviii: things throng and laugh 
985,"things throng and laugh loud in the sky; the sands and dust dance and whirl like children. man's mind is aroused by their shouts; his thoughts long to be the playmates of things. our dreams, drifting in the stream of the vague, stretch their arms to clutch the earth, -their efforts stiffen into bricks and stones, and thus the city of man is built. voices come swarming from the past,-seeking answers from the living moments. beats of their wings fill the air with tremulous shadows, and sleepless thoughts in our minds leave their nests to take flight across the desert of dimness, in the passionate thirst for forms. they are lampless pilgrims, seeking the shore of light, to find themselves in things. they will be lured into poets's rhymes, they will be housed in the towers of the town not yet planned, they have their call to arms from the battle fields of the future, they are bidden to join hands in the strife of peace yet to come."
986,lover's gifts lxx: take back your coins 
987,"take back your coins, king's councillor. i am of those women you sent to the forest shrine to decoy the young ascetic who had never seen a women. i failed in your bidding. dimly day was breaking when the hermit boy came to bathe in the stream, his tawny locks crowded on his shoulders, like a cluster of morning clouds, and his limbs shining like a streak of sunbeam. we laughed and sang as we rowed in our boat; we jumped into the river in a mad frolic, and danced around him, when the sun rose staring at us from the water's edge in a flush of divine anger. like a child-god, the boy opened his eyes and watched our movements, the wonder deepening till his eyes shone like morning stars. he lifted his clasped hands and chanted a hymn of praise in his bird-like young voice, thrilling every leaf of the forest. never such words were sung to a mortal woman before; they were like the silent hymn to the dawn which rises from the hushed hills. the women hid their mouths with their hands, their bodies swaying with laughter, and a spasm of doubt ran across his face. quickly came i to his side, sorely pained, and, bowing to his feet, i said, ""lord, accept my service."" i led him to the grassy bank, wiped his body with the end of my silken mantle, and, kneeling on the ground, i dried his feet with my trailing hair. when i raised my face and looked into his eyes, i thought i felt the world's first kiss to the first woman,  -blessed am i, blessed is god, who made me a woman. i heard him say to me, ""what god unknown are you? your touch is the touch of the immortal, your eyes have the mystery of the midnight."" ah, no, not that smile, king's councillor, -the dust of worldly wisdom has covered your sight, old man. but this boy's innocence pierced the mist and saw the shining truth, the woman divine.... the women clapped their hands, and laughed their obscene laugh, and with veils dragged on the dust and hair hanging loose they began to pelt him with flowers. alas, my spotless sun, could not my shame weave fiery mist to cover you in its folds? i fell at his feet and cried, ""forgive me. "" i fled like a stricken deer through shade and sun, and cried as i fled, "" forgive me. "" the women's foul laughter pressed me like a cracking fire, but the words ever rang in my ears, "" what god unknown are you?"""
988,lover's gifts v: i would ask for still more
989,"i would ask for still more, if i had the sky with all its stars, and the world with its endless riches; but i would be content with the smallest corner of this earth if only she were mine. "
990,lover's gifts viii: there is room for you 
991,"there is room for you. you are alone with your few sheaves of rice. my boat is crowded, it is heavily laden, but how can i turn you away? your young body is slim and swaying; there is a twinkling smile in the edge of your eyes, and your robe is coloured like the rain cloud. the travellers will land for different roads and homes. you will sit for a while on the prow of my boat, and at the journey's end none will keep you back. where do you go, and to what home, to garner your sheaves? i will not question you, but when i fold my sails and moor my boat i shall sit and wonder in the evening, -where do you go, and to what home, to garner your sheaves?"
992,lover's gifts xiii: last night in the garden 
993,"last night in the garden i offered you my youth's foaming wine. you lifted the cup to your lips, you shut your eyes and smiled while i raised your veil, unbound your tresses, drawing down upon my breast your face sweet with its silence, last night when the moon's dream overflowed the world of slumber. to-day in the dew-cooled calm of the dawn you are walking to god's temple, bathed and robed in white, with a basketful of flowers in your hand. i stand aside in the shade under the tree, with my head bent, in the calm of the dawn by the lonely road to the temple."
994,lover's gifts xix: it is written in the book 
